component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,medium,all_in,identity_l1,4,2,3,0.05894480273127556
ggsf,4+,medium,all_in,dynamic_range,4,2,3,0.06935232877731323
ggsf,4+,medium,all_in,mean,4,3,3,0.9466826915740967
ggsf,4+,medium,all_in,variance,4,3,3,0.00031060032779350877
ggsf,4+,medium,all_in,std,4,3,3,0.01762385666370392
ggsf,4+,medium,all_in,min,4,3,3,0.9223847985267639
ggsf,4+,medium,all_in,max,4,3,3,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,3,0.9999750945580445
ggsf,4+,medium,all_in,identity_l1,4,3,3,0.05331728979945183
ggsf,4+,medium,all_in,dynamic_range,4,3,3,0.06184035539627075
ggsf,4+,medium,all_in,inter_person_l1,4,all,3,0.009799311868846416
sasa,4+,medium,all_in,entropy,4,0,3,0.6884884033674061
sasa,4+,medium,all_in,max_weight,4,0,3,0.6586896777153015
sasa,4+,medium,all_in,uniform_l1,4,0,3,0.20434483978897333
sasa,4+,medium,all_in,weight_layer_0,4,0,3,0.038994502276182175
sasa,4+,medium,all_in,weight_layer_1,4,0,3,0.09913872182369232
sasa,4+,medium,all_in,weight_layer_2,4,0,3,0.2031770944595337
sasa,4+,medium,all_in,weight_layer_3,4,0,3,0.6586896777153015
sasa,4+,medium,all_in,entropy,4,1,3,0.695600410987119
sasa,4+,medium,all_in,max_weight,4,1,3,0.6533824801445007
sasa,4+,medium,all_in,uniform_l1,4,1,3,0.20169124007225037
sasa,4+,medium,all_in,weight_layer_0,4,1,3,0.040327079594135284
sasa,4+,medium,all_in,weight_layer_1,4,1,3,0.10121790319681168
sasa,4+,medium,all_in,weight_layer_2,4,1,3,0.2050725370645523
sasa,4+,medium,all_in,weight_layer_3,4,1,3,0.6533824801445007
sasa,4+,medium,all_in,entropy,4,2,3,0.6964707062472686
sasa,4+,medium,all_in,max_weight,4,2,3,0.6526902914047241
sasa,4+,medium,all_in,uniform_l1,4,2,3,0.20134513545781374
sasa,4+,medium,all_in,weight_layer_0,4,2,3,0.040468666702508926
sasa,4+,medium,all_in,weight_layer_1,4,2,3,0.10146606713533401
sasa,4+,medium,all_in,weight_layer_2,4,2,3,0.20537501573562622
sasa,4+,medium,all_in,weight_layer_3,4,2,3,0.6526902914047241
sasa,4+,medium,all_in,entropy,4,3,3,0.6933832828085585
sasa,4+,medium,all_in,max_weight,4,3,3,0.6550197005271912
sasa,4+,medium,all_in,uniform_l1,4,3,3,0.2025098456069827
sasa,4+,medium,all_in,weight_layer_0,4,3,3,0.03992224112153053
sasa,4+,medium,all_in,weight_layer_1,4,3,3,0.10049465298652649
sasa,4+,medium,all_in,weight_layer_2,4,3,3,0.2045634239912033
sasa,4+,medium,all_in,weight_layer_3,4,3,3,0.6550197005271912
sasa,4+,medium,all_in,inter_person_l1,4,all,3,0.0009566282387822866
ggsf,4+,medium,all_in,mean,4,0,4,0.956462562084198
ggsf,4+,medium,all_in,variance,4,0,4,0.0002858187071979046
ggsf,4+,medium,all_in,std,4,0,4,0.016906173899769783
ggsf,4+,medium,all_in,min,4,0,4,0.9262084364891052
ggsf,4+,medium,all_in,max,4,0,4,0.9881404638290405
ggsf,4+,medium,all_in,spatial_entropy,4,0,4,0.9999775002535529
ggsf,4+,medium,all_in,identity_l1,4,0,4,0.043537437915802
ggsf,4+,medium,all_in,dynamic_range,4,0,4,0.0619320273399353
ggsf,4+,medium,all_in,mean,4,1,4,0.9427356719970703
ggsf,4+,medium,all_in,variance,4,1,4,0.00035442865919321775
ggsf,4+,medium,all_in,std,4,1,4,0.018826276063919067
ggsf,4+,medium,all_in,min,4,1,4,0.9175214767456055
ggsf,4+,medium,all_in,max,4,1,4,0.9871320724487305
ggsf,4+,medium,all_in,spatial_entropy,4,1,4,0.9999713951946461
ggsf,4+,medium,all_in,identity_l1,4,1,4,0.05726439505815506
ggsf,4+,medium,all_in,dynamic_range,4,1,4,0.069610595703125
ggsf,4+,medium,all_in,mean,4,2,4,0.9410544633865356
ggsf,4+,medium,all_in,variance,4,2,4,0.0003866528277285397
ggsf,4+,medium,all_in,std,4,2,4,0.0196634903550148
ggsf,4+,medium,all_in,min,4,2,4,0.9144372940063477
ggsf,4+,medium,all_in,max,4,2,4,0.9837908148765564
ggsf,4+,medium,all_in,spatial_entropy,4,2,4,0.9999686514879358
ggsf,4+,medium,all_in,identity_l1,4,2,4,0.058945514261722565
ggsf,4+,medium,all_in,dynamic_range,4,2,4,0.06935352087020874
ggsf,4+,medium,all_in,mean,4,3,4,0.9466826915740967
ggsf,4+,medium,all_in,variance,4,3,4,0.00031060032779350877
ggsf,4+,medium,all_in,std,4,3,4,0.01762385666370392
ggsf,4+,medium,all_in,min,4,3,4,0.9223847985267639
ggsf,4+,medium,all_in,max,4,3,4,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,4,0.9999750945580445
ggsf,4+,medium,all_in,identity_l1,4,3,4,0.05331728979945183
ggsf,4+,medium,all_in,dynamic_range,4,3,4,0.06184035539627075
ggsf,4+,medium,all_in,inter_person_l1,4,all,4,0.00979858823120594
sasa,4+,medium,all_in,entropy,4,0,4,0.6879223822841763
sasa,4+,medium,all_in,max_weight,4,0,4,0.6594243049621582
sasa,4+,medium,all_in,uniform_l1,4,0,4,0.20471216086298227
sasa,4+,medium,all_in,weight_layer_0,4,0,4,0.0390898622572422
sasa,4+,medium,all_in,weight_layer_1,4,0,4,0.09903261810541153
sasa,4+,medium,all_in,weight_layer_2,4,0,4,0.20245318114757538
sasa,4+,medium,all_in,weight_layer_3,4,0,4,0.6594243049621582
sasa,4+,medium,all_in,entropy,4,1,4,0.6950496992824631
sasa,4+,medium,all_in,max_weight,4,1,4,0.6541123986244202
sasa,4+,medium,all_in,uniform_l1,4,1,4,0.2020561983808875
sasa,4+,medium,all_in,weight_layer_0,4,1,4,0.04042502120137215
sasa,4+,medium,all_in,weight_layer_1,4,1,4,0.10111160576343536
sasa,4+,medium,all_in,weight_layer_2,4,1,4,0.20435097813606262
sasa,4+,medium,all_in,weight_layer_3,4,1,4,0.6541123986244202
sasa,4+,medium,all_in,entropy,4,2,4,0.6959269624850789
sasa,4+,medium,all_in,max_weight,4,2,4,0.6534156203269958
sasa,4+,medium,all_in,uniform_l1,4,2,4,0.20170780271291733
sasa,4+,medium,all_in,weight_layer_0,4,2,4,0.04056733846664429
sasa,4+,medium,all_in,weight_layer_1,4,2,4,0.10136176645755768
sasa,4+,medium,all_in,weight_layer_2,4,2,4,0.20465530455112457
sasa,4+,medium,all_in,weight_layer_3,4,2,4,0.6534156203269958
sasa,4+,medium,all_in,entropy,4,3,4,0.6928312977420719
sasa,4+,medium,all_in,max_weight,4,3,4,0.6557472944259644
sasa,4+,medium,all_in,uniform_l1,4,3,4,0.20287365559488535
sasa,4+,medium,all_in,weight_layer_0,4,3,4,0.040018994361162186
sasa,4+,medium,all_in,weight_layer_1,4,3,4,0.10038960725069046
sasa,4+,medium,all_in,weight_layer_2,4,3,4,0.2038440704345703
sasa,4+,medium,all_in,weight_layer_3,4,3,4,0.6557472944259644
sasa,4+,medium,all_in,inter_person_l1,4,all,4,0.0009577281307429075
ggsf,4+,medium,all_in,mean,4,0,5,0.9564651250839233
ggsf,4+,medium,all_in,variance,4,0,5,0.00028577912598848343
ggsf,4+,medium,all_in,std,4,0,5,0.016905002295970917
ggsf,4+,medium,all_in,min,4,0,5,0.9262076616287231
ggsf,4+,medium,all_in,max,4,0,5,0.988140344619751
ggsf,4+,medium,all_in,spatial_entropy,4,0,5,0.9999775034774832
ggsf,4+,medium,all_in,identity_l1,4,0,5,0.04353489726781845
ggsf,4+,medium,all_in,dynamic_range,4,0,5,0.06193268299102783
ggsf,4+,medium,all_in,mean,4,1,5,0.9427419304847717
ggsf,4+,medium,all_in,variance,4,1,5,0.0003544660285115242
ggsf,4+,medium,all_in,std,4,1,5,0.018827268853783607
ggsf,4+,medium,all_in,min,4,1,5,0.9175295233726501
ggsf,4+,medium,all_in,max,4,1,5,0.9871320724487305
ggsf,4+,medium,all_in,spatial_entropy,4,1,5,0.9999713925262124
ggsf,4+,medium,all_in,identity_l1,4,1,5,0.057258062064647675
ggsf,4+,medium,all_in,dynamic_range,4,1,5,0.06960254907608032
ggsf,4+,medium,all_in,mean,4,2,5,0.9410537481307983
ggsf,4+,medium,all_in,variance,4,2,5,0.0003866586775984615
ggsf,4+,medium,all_in,std,4,2,5,0.01966363936662674
ggsf,4+,medium,all_in,min,4,2,5,0.9144359230995178
ggsf,4+,medium,all_in,max,4,2,5,0.9837908148765564
ggsf,4+,medium,all_in,spatial_entropy,4,2,5,0.9999686509678409
ggsf,4+,medium,all_in,identity_l1,4,2,5,0.05894622951745987
ggsf,4+,medium,all_in,dynamic_range,4,2,5,0.06935489177703857
ggsf,4+,medium,all_in,mean,4,3,5,0.946683406829834
ggsf,4+,medium,all_in,variance,4,3,5,0.00031059025786817074
ggsf,4+,medium,all_in,std,4,3,5,0.017623571678996086
ggsf,4+,medium,all_in,min,4,3,5,0.922385573387146
ggsf,4+,medium,all_in,max,4,3,5,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,5,0.9999750953971618
ggsf,4+,medium,all_in,identity_l1,4,3,5,0.05331660434603691
ggsf,4+,medium,all_in,dynamic_range,4,3,5,0.06183958053588867
ggsf,4+,medium,all_in,inter_person_l1,4,all,5,0.009798380546271801
sasa,4+,medium,all_in,entropy,4,0,5,0.6863223157726118
sasa,4+,medium,all_in,max_weight,4,0,5,0.6604695320129395
sasa,4+,medium,all_in,uniform_l1,4,0,5,0.2052347743883729
sasa,4+,medium,all_in,weight_layer_0,4,0,5,0.038807544857263565
sasa,4+,medium,all_in,weight_layer_1,4,0,5,0.09831225126981735
sasa,4+,medium,all_in,weight_layer_2,4,0,5,0.20241063833236694
sasa,4+,medium,all_in,weight_layer_3,4,0,5,0.6604695320129395
sasa,4+,medium,all_in,entropy,4,1,5,0.6934594218982254
sasa,4+,medium,all_in,max_weight,4,1,5,0.6551641821861267
sasa,4+,medium,all_in,uniform_l1,4,1,5,0.20258209109306335
sasa,4+,medium,all_in,weight_layer_0,4,1,5,0.040137484669685364
sasa,4+,medium,all_in,weight_layer_1,4,1,5,0.10038606822490692
sasa,4+,medium,all_in,weight_layer_2,4,1,5,0.204312264919281
