cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
1,0,7.852443695068359,1.0,0.0,0.11507238342954748,images/CBS This Morning/11118_11359/00011143.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
1,0,9.895992279052734,1.0,0.0,0.1293167217099854,images/CBS This Morning/11118_11359/00011143.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
0,1,8.188232421875,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011144.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
1,0,7.853733062744141,1.0,0.0,0.11507238342954759,images/CBS This Morning/11118_11359/00011144.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
1,0,10.077607154846191,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011144.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4536290924411485
0,1,8.318912506103516,1.0,0.0,0.15676836401843516,images/CBS This Morning/11118_11359/00011145.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
1,0,7.809360504150391,1.0,0.0,0.11507238342954755,images/CBS This Morning/11118_11359/00011145.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
1,0,10.102532386779785,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011145.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4538660905848493
0,1,8.446683883666992,1.0,0.0,0.15676836401843522,images/CBS This Morning/11118_11359/00011146.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
1,0,7.687726020812988,1.0,0.0,0.11507238342954756,images/CBS This Morning/11118_11359/00011146.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
1,0,10.078798294067383,1.0,0.0,0.12931672170998543,images/CBS This Morning/11118_11359/00011146.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45293590335625056
