cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
1,0,11.532336235046387,1.0,0.0,0.1150723834295477,images/CBS This Morning/11118_11359/00011164.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5670752717520994
0,1,12.056909561157227,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011165.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5670752717520994
1,0,11.456439971923828,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011165.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5670752717520994
0,1,11.882842063903809,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011166.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5670452228283923
1,0,11.53171443939209,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011166.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5670452228283923
0,1,11.766757011413574,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011167.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5688253596454246
1,0,11.607786178588867,1.0,0.0,0.1150723834295477,images/CBS This Morning/11118_11359/00011167.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5688253596454246
0,1,11.499235153198242,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011168.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5690527816684369
1,0,11.537108421325684,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011168.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5690527816684369
0,1,11.054315567016602,1.0,0.0,0.15676836401843508,images/CBS This Morning/11118_11359/00011169.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5701001971451608
1,0,11.401421546936035,1.0,0.0,0.11507238342954765,images/CBS This Morning/11118_11359/00011169.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5701001971451608
0,1,10.985078811645508,1.0,0.0,0.15676836401843505,images/CBS This Morning/11118_11359/00011170.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5711417750470658
1,0,11.527647972106934,1.0,0.0,0.11507238342954762,images/CBS This Morning/11118_11359/00011170.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5711417750470658
