method,coverage,risk
final_confidence,0.21875,0.046178097929809384
final_confidence,0.225,0.04909336601834096
final_confidence,0.23125,0.050890728291165546
final_confidence,0.2375,0.05406800047739734
final_confidence,0.24375,0.0535122624486967
final_confidence,0.25,0.054453642714853534
final_confidence,0.25625,0.054193525783279774
final_confidence,0.2625,0.0535034864789934
final_confidence,0.26875,0.053213622156827456
final_confidence,0.275,0.052168771877652474
final_confidence,0.28125,0.051347820895816215
final_confidence,0.2875,0.05115575120558341
final_confidence,0.29375,0.05214953421131771
final_confidence,0.3,0.053772257155866234
final_confidence,0.30625,0.05382974137346014
final_confidence,0.3125,0.053902269056106435
final_confidence,0.31875,0.05418600661394909
final_confidence,0.325,0.05370482194649661
final_confidence,0.33125,0.05495499116782687
final_confidence,0.3375,0.05493851651584966
final_confidence,0.34375,0.054113596836690765
final_confidence,0.35,0.05410153170427049
final_confidence,0.35625,0.054301836602111866
final_confidence,0.3625,0.053967414326275255
final_confidence,0.36875,0.05659350290501057
final_confidence,0.375,0.055785185986235365
final_confidence,0.38125,0.05540953723465781
final_confidence,0.3875,0.054943447684742346
final_confidence,0.39375,0.0545157586411982
final_confidence,0.4,0.05482114175105814
final_confidence,0.40625,0.05575423654767529
final_confidence,0.4125,0.05624436511491866
final_confidence,0.41875,0.05793038320217529
final_confidence,0.425,0.05955360217576893
final_confidence,0.43125,0.05919036425447171
final_confidence,0.4375,0.05887825703317605
final_confidence,0.44375,0.05850164300558058
final_confidence,0.45,0.05829164856235455
final_confidence,0.45625,0.057552815574154724
final_confidence,0.4625,0.0570282051636264
final_confidence,0.46875,0.05745367914491659
final_confidence,0.475,0.057212828956328406
final_confidence,0.48125,0.058681415611333616
final_confidence,0.4875,0.05827538912880197
final_confidence,0.49375,0.05915421839208882
final_confidence,0.5,0.05906683800064272
final_confidence,0.50625,0.05993508395651407
final_confidence,0.5125,0.059578773447699955
final_confidence,0.51875,0.05929302876779446
final_confidence,0.525,0.058842143375331994
final_confidence,0.53125,0.05964167407315042
final_confidence,0.5375,0.059280660778340794
final_confidence,0.54375,0.0587047709114695
final_confidence,0.55,0.05962974274394781
final_confidence,0.55625,0.061082102019037514
final_confidence,0.5625,0.06099650043347026
final_confidence,0.56875,0.06251071862743764
final_confidence,0.575,0.06207919974500904
final_confidence,0.58125,0.06387778931914738
final_confidence,0.5875,0.06357277660679748
final_confidence,0.59375,0.06333044176612664
final_confidence,0.6,0.06454712498428068
final_confidence,0.60625,0.0642056305084737
final_confidence,0.6125,0.06411135604081279
final_confidence,0.61875,0.0656954121887657
final_confidence,0.625,0.06614151193907124
final_confidence,0.63125,0.0657932526174036
final_confidence,0.6375,0.06687007100380384
