crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
2-3,large,all_out,layer_8,,0.18755509365786655,token_cosine,37,layer,0.000961533909075555
2-3,large,mixed,layer_8,,0.1879858481480917,token_cosine,40,layer,0.0006022117053194042
4+,medium,all_in,layer_8,,0.1836059247199581,token_cosine,480,layer,0.002241721987417835
4+,medium,all_out,layer_8,,0.1826131044188719,token_cosine,1,layer,
4+,medium,mixed,layer_8,,0.18216804962865996,token_cosine,272,layer,0.0023030699978451893
1,large,all_in,layer_2,layer_11,0.7888324721805289,directional_novelty,33,pair,0.0015148951401963969
1,large,all_out,layer_2,layer_11,0.7906023255438985,directional_novelty,119,pair,0.0014846381075953035
2-3,large,all_in,layer_2,layer_11,0.7737452620389127,directional_novelty,18,pair,0.0019571003386864047
2-3,large,all_out,layer_2,layer_11,0.7697975697400408,directional_novelty,37,pair,0.002662582482443946
2-3,large,mixed,layer_2,layer_11,0.7715197905262061,directional_novelty,40,pair,0.002757815733776407
4+,medium,all_in,layer_2,layer_11,0.7685671603617439,directional_novelty,480,pair,0.00498972820282091
4+,medium,all_out,layer_2,layer_11,0.7555147791013458,directional_novelty,1,pair,
4+,medium,mixed,layer_2,layer_11,0.7638730854042507,directional_novelty,272,pair,0.006231973265004697
1,large,all_in,layer_2,layer_11,0.7783118057282794,linear_cka,33,pair,0.002222292925909001
1,large,all_out,layer_2,layer_11,0.7776073877436926,linear_cka,119,pair,0.0014013399526200212
2-3,large,all_in,layer_2,layer_11,0.7367163211933546,linear_cka,18,pair,0.004806659974632659
2-3,large,all_out,layer_2,layer_11,0.7493024891548777,linear_cka,37,pair,0.006603070802664889
2-3,large,mixed,layer_2,layer_11,0.7452911050069717,linear_cka,40,pair,0.005232342423023451
4+,medium,all_in,layer_2,layer_11,0.7228525422895001,linear_cka,480,pair,0.02406173748706254
4+,medium,all_out,layer_2,layer_11,0.7669384204652134,linear_cka,1,pair,
4+,medium,mixed,layer_2,layer_11,0.7398202476562025,linear_cka,272,pair,0.027082157439843806
1,large,all_in,layer_2,layer_5,0.1820692103655727,directional_novelty,33,pair,0.001995032208084934
1,large,all_out,layer_2,layer_5,0.18083436605267783,directional_novelty,119,pair,0.0021285696425457287
2-3,large,all_in,layer_2,layer_5,0.16448350772680861,directional_novelty,18,pair,0.001598637225679007
2-3,large,all_out,layer_2,layer_5,0.16069691710457462,directional_novelty,37,pair,0.0020341702543424595
2-3,large,mixed,layer_2,layer_5,0.16161872799991608,directional_novelty,40,pair,0.002284701454883356
4+,medium,all_in,layer_2,layer_5,0.14482496227938413,directional_novelty,480,pair,0.0056091129924714725
4+,medium,all_out,layer_2,layer_5,0.1555269241404694,directional_novelty,1,pair,
