crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,metric,people_count,sample_id,scope,value
4+,medium,all_in,layer_11,,token_cosine,4,11,layer,0.42799222164354617
4+,medium,all_in,layer_11,,effective_rank,4,11,layer,19.097995908530947
4+,medium,all_in,layer_11,,normalized_effective_rank,4,11,layer,0.29840618607079605
4+,medium,all_in,layer_11,,spatial_variance,4,11,layer,0.0931113958071026
4+,medium,all_in,layer_2,layer_5,linear_cka,4,11,pair,0.9267513765510386
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,11,pair,0.14768947833708176
4+,medium,all_in,layer_2,layer_8,linear_cka,4,11,pair,0.846321836649725
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,11,pair,0.40665334621513477
4+,medium,all_in,layer_2,layer_11,linear_cka,4,11,pair,0.7207406873412806
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,11,pair,0.7701234486521175
4+,medium,all_in,layer_5,layer_8,linear_cka,4,11,pair,0.9604223989196369
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,11,pair,0.25179047690267253
4+,medium,all_in,layer_5,layer_11,linear_cka,4,11,pair,0.8327725591600325
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,11,pair,0.7399173907556774
4+,medium,all_in,layer_8,layer_11,linear_cka,4,11,pair,0.8945411079408407
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,11,pair,0.6726392459918715
4+,medium,all_in,layer_2,,token_cosine,4,12,layer,0.4043517254889283
4+,medium,all_in,layer_2,,effective_rank,4,12,layer,6.024085220840224
4+,medium,all_in,layer_2,,normalized_effective_rank,4,12,layer,0.0941263315756285
4+,medium,all_in,layer_2,,spatial_variance,4,12,layer,6.37982222933993
4+,medium,all_in,layer_5,,token_cosine,4,12,layer,0.24227960753888608
4+,medium,all_in,layer_5,,effective_rank,4,12,layer,9.002058314956155
