sample_id,dataset,split,image_path,person_index,localization_l2,failure,final_entropy,final_negative_peak,final_negative_margin,final_spread,pairwise_peak_distance_mean,pairwise_peak_distance_max,pairwise_js_mean,pairwise_js_max,geometry_semantics_conflict,semantic_peak_outside_geometry_support,probe_l2_2,probe_l2_5,probe_l2_8,probe_l2_11,domain,risk_final_confidence,risk_final_plus_disagreement
gazefollow:d957c1d3085ade969393,gazefollow,risk_train,train/00000040/00040969.jpg,0,0.7593477314439018,1,0.7420436868410991,-0.0090825462696321,-3.7012841292529894e-05,0.14281956321110048,0.08418167045582249,0.13654484550861315,0.11513065566767867,0.16702931713298622,0.007936507936507948,0,0.8924934045969192,0.7613212871376972,0.7593634108574102,0.7814579977509988,id,0.43497708868835416,0.43344402262519194
gazefollow:b79e60a280a628438775,gazefollow,risk_train,train/00000013/00013976.jpg,0,0.04359400933614615,0,0.6478532524082671,-0.012492109709890727,-7.413176988699949e-05,0.0923420713530778,0.19647069108645251,0.3772972801271337,0.20422838654649833,0.42253187194892994,0.005611958580845615,0,0.3232672078173102,0.05354656408211453,0.04359400933614615,0.03770838136276864,id,0.11979857626518799,0.13903236994288654
gazefollow:e320494cda9ff0a24be6,gazefollow,risk_train,train/00000118/00118688.jpg,0,0.5308337329145539,1,0.81524754218199,-0.008613240676819175,-0.0001796603437202067,0.251781057532427,0.03514469617735672,0.05019488349473617,0.08001271545002121,0.12113183047890888,0.012548720873684043,0,0.2897463850076477,0.3073152373784938,0.3196388325125719,0.33822121847246667,id,0.7968512730403148,0.7895755036957389
gazefollow:69befdd9fd755185678e,gazefollow,risk_train,train/00000035/00035771.jpg,0,0.6640836611828362,1,0.6829498888847528,-0.013002811729385342,-0.00015140347078544322,0.10631659226307813,0.015419119377635399,0.02244783432338242,0.08068686052419631,0.13783180493305433,0.0,0,0.6497099109795078,0.6640836611828362,0.6436757843044897,0.6640836611828362,id,0.21221353739666748,0.2059482297831693
gazefollow:86e42fb5543279082b25,gazefollow,risk_train,train/00000103/00103957.jpg,0,0.17424109310091002,1,0.7744752647258094,-0.004834855587670365,-4.786563789731246e-05,0.1436428099467578,0.2520553582603679,0.4390259265377565,0.06984931935672747,0.10502694119279801,0.017746571249998327,0,0.491574913950051,0.3058864511955376,0.21128041000054876,0.1726490454650705,id,0.6042171008708446,0.5950264060529826
gazefollow:9dd21e916ee36e762d1d,gazefollow,risk_train,train/00000077/00077742.jpg,0,0.05429866135550674,0,0.7174514638306242,-0.007903426599484946,-0.0002990762733065047,0.1128284479045618,0.08372370114922473,0.15873015873015872,0.13094487239575217,0.2571440409265836,0.01122391716169123,0,0.13781521006405642,0.03815553203665228,0.021416281773454494,0.016102239751040824,id,0.3553721730741572,0.36763355415243254
gazefollow:5e2dce8eaa81fef2a0ea,gazefollow,risk_train,train/00000070/00070235.jpg,0,0.05712297545646588,0,0.7836765686588475,-0.006528951166607902,-9.74264676076586e-05,0.16932657064142953,0.1997578712667711,0.3081982196658349,0.1029409663327282,0.19145692011899595,0.012548720873684053,0,0.24753816614817198,0.20053967020268085,0.05712297545646588,0.07591465158320891,id,0.6376477900884326,0.6495927349394215
gazefollow:54739b88502f9c64ea8d,gazefollow,risk_train,train/00000104/00104857.jpg,0,0.021969343413038096,0,0.6515728652752814,-0.014167935517593008,-0.00019472145328169703,0.09580804905378668,0.03701244652093801,0.06349206349206349,0.11351757515975487,0.25248487117209634,0.005611958580845615,0,0.03408278781144522,0.03511248246706577,0.03398637852140177,0.014855939048070975,id,0.13094124299971838,0.13607669178282158
gazefollow:b355ca80a962c7a764a6,gazefollow,risk_train,train/00000093/00093642.jpg,0,0.39705809260107017,1,0.7819237096734921,-0.0053480649669274405,-9.17006926027808e-05,0.16407913017167947,0.2592685214097126,0.382272843771184,0.06104143420663391,0.10631544791384959,0.08584645893961879,0,0.19704410394629931,0.09302538712631087,0.16199866172286734,0.2238920027602594,id,0.6308642955535647,0.6486939282832954
gazefollow:d2a0fd4017007599f40e,gazefollow,risk_train,train/00000092/00092210.jpg,0,0.03060094810622702,0,0.6928186508993177,-0.00928642379830384,-6.665468332868463e-05,0.10594063026179162,0.2805059543155693,0.5406154401881397,0.13702852846159455,0.21367326526033287,0.015873015873015872,0,0.08357871977961853,0.057498064315244554,0.5533611184389449,0.02188955001821644,id,0.24128446566166745,0.23206007102850487
